Cycle Nr.,Time (h),Time [s],Temp. [°C],C3,C4,C5,C6,C7,C8,F11,F12,F13,F14,F15,F16,F17,F18
1,0,0,30,164,168,173,176,160,160,180,176,189,192,175,180,Blank,Blank
2,0.250055556,900.2,30,157,158,164,171,155,151,169,169,181,185,168,171,Blank,Blank
3,0.500055556,1800.2,30.1,156,157,162,169,154,150,166,166,179,182,164,169,Blank,Blank
4,0.750055556,2700.2,30,156,156,161,166,153,149,169,164,176,180,163,166,Blank,Blank
5,1.000055556,3600.2,30,156,157,160,167,154,150,166,165,176,180,164,165,Blank,Blank
6,1.250083333,4500.3,30.1,155,155,160,168,154,148,166,165,174,179,165,166,Blank,Blank
7,1.500083333,5400.3,30.2,155,154,159,168,155,150,166,163,173,178,166,166,Blank,Blank
8,1.750083333,6300.3,30.1,157,154,159,167,156,150,163,161,172,178,165,166,Blank,Blank
9,2.000083333,7200.3,30.3,156,154,158,168,156,149,167,164,171,176,166,165,Blank,Blank
10,2.250083333,8100.3,30.2,156,154,157,168,158,150,166,163,170,178,167,164,Blank,Blank
11,2.500083333,9000.3,30.3,155,153,157,168,158,150,165,160,170,176,167,167,Blank,Blank
12,2.750083333,9900.3,30.1,155,154,154,166,159,149,165,161,168,175,167,165,Blank,Blank
13,3.000111111,10800.4,30.1,156,153,156,166,159,150,165,163,166,175,167,166,Blank,Blank
14,3.250111111,11700.4,30.1,157,152,155,165,159,150,163,164,168,175,167,165,Blank,Blank
15,3.500111111,12600.4,30.3,156,152,153,165,159,148,166,162,167,173,168,164,Blank,Blank
16,3.750111111,13500.4,30.1,157,152,153,165,160,150,165,163,166,173,169,166,Blank,Blank
17,4.000111111,14400.4,30.2,156,154,155,164,160,150,167,162,167,171,168,164,Blank,Blank
18,4.250138889,15300.5,30.1,159,152,153,164,161,150,167,162,166,170,167,165,Blank,Blank
19,4.500111111,16200.4,30.1,157,153,153,163,160,150,166,160,165,170,169,164,Blank,Blank
20,4.750138889,17100.5,30.2,157,153,152,162,162,150,167,163,167,170,170,167,Blank,Blank
21,5.000138889,18000.5,30.2,158,152,153,163,161,151,168,161,166,169,169,166,Blank,Blank
22,5.250138889,18900.5,30,159,153,152,162,163,151,167,162,165,169,169,166,Blank,Blank
23,5.500138889,19800.5,30.2,160,156,152,162,163,151,167,163,164,167,169,168,Blank,Blank
24,5.750138889,20700.5,30.1,158,155,151,161,164,153,168,164,166,168,169,168,Blank,Blank
25,6.000138889,21600.5,29.9,160,155,151,162,164,153,170,164,164,168,169,167,Blank,Blank
26,6.250166667,22500.6,30.2,160,153,150,160,164,152,170,163,166,165,170,167,Blank,Blank
27,6.500166667,23400.6,30.2,162,154,150,160,165,153,169,165,166,165,170,168,Blank,Blank
28,6.750166667,24300.6,30,163,156,151,160,163,154,171,166,166,164,170,169,Blank,Blank
29,7.000166667,25200.6,30.2,163,155,151,160,165,154,172,165,166,165,171,169,Blank,Blank
30,7.250166667,26100.6,30.3,162,156,151,157,164,156,170,164,164,163,172,168,Blank,Blank
31,7.500166667,27000.6,30.1,163,157,151,158,165,157,171,164,166,162,171,170,Blank,Blank
32,7.750194444,27900.7,30.1,162,157,152,157,166,156,171,166,167,162,171,170,Blank,Blank
33,8.000194444,28800.7,30.1,164,157,152,155,164,156,172,166,166,161,172,171,Blank,Blank
34,8.250194444,29700.7,29.9,162,157,152,155,163,156,171,166,166,160,171,169,Blank,Blank
35,8.500194444,30600.7,30.1,163,158,150,155,163,157,172,166,165,160,169,169,Blank,Blank
36,8.750194444,31500.7,30.1,163,158,150,153,163,156,172,166,166,157,170,170,Blank,Blank
37,9.000194444,32400.7,30.1,164,156,151,152,162,156,169,165,165,154,171,169,Blank,Blank
38,9.250222222,33300.8,30.3,162,156,148,150,160,155,172,166,164,155,168,170,Blank,Blank
39,9.500222222,34200.8,30.2,164,158,149,150,160,157,171,167,164,155,167,170,Blank,Blank
40,9.750222222,35100.8,29.9,163,158,149,149,162,158,170,165,166,155,169,170,Blank,Blank
41,10.00022222,36000.8,30.2,164,157,149,149,160,159,172,166,165,154,169,170,Blank,Blank
42,10.25022222,36900.8,30.2,164,160,152,149,160,159,173,167,167,157,169,171,Blank,Blank
43,10.50025,37800.9,30.4,166,161,153,149,161,160,174,170,169,154,169,173,Blank,Blank
44,10.75025,38700.9,30,167,162,155,150,162,162,175,172,170,157,170,176,Blank,Blank
45,11.00025,39600.9,30.3,169,163,154,150,162,162,177,172,171,157,170,176,Blank,Blank
46,11.25025,40500.9,30.2,170,164,154,150,161,163,177,174,171,158,170,176,Blank,Blank
47,11.50025,41400.9,30.1,169,167,155,151,162,164,177,172,170,156,169,175,Blank,Blank
48,11.75025,42300.9,30.3,171,163,158,149,162,163,176,176,171,157,169,175,Blank,Blank
49,12.00025,43200.9,30.2,170,166,156,149,160,163,175,173,171,157,171,176,Blank,Blank
50,12.25027778,44101,30.2,168,166,159,150,160,163,177,173,172,156,170,176,Blank,Blank
51,12.50027778,45001,30,170,167,159,149,160,164,178,175,173,157,171,177,Blank,Blank
52,12.75027778,45901,30.1,171,168,160,150,160,164,178,175,174,157,169,177,Blank,Blank
53,13.00027778,46801,30.1,170,168,161,150,161,166,179,177,174,159,168,177,Blank,Blank
54,13.25027778,47701,30.2,170,168,160,150,161,166,179,176,174,158,171,179,Blank,Blank
55,13.50027778,48601,30.2,172,169,163,152,160,165,180,178,177,160,170,180,Blank,Blank
56,13.75030556,49501.1,30,171,170,162,151,160,166,177,179,176,159,168,180,Blank,Blank
57,14.00030556,50401.1,30.1,169,169,163,150,160,165,180,177,177,159,167,176,Blank,Blank
58,14.25030556,51301.1,29.9,171,170,164,151,159,165,178,178,178,160,167,178,Blank,Blank
59,14.50030556,52201.1,30.2,169,168,162,150,157,163,179,177,175,159,166,175,Blank,Blank
60,14.75030556,53101.1,30.2,168,168,164,148,158,162,176,177,175,159,165,175,Blank,Blank
61,15.00030556,54001.1,30.2,168,165,163,149,155,163,177,175,175,159,163,175,Blank,Blank
62,15.25030556,54901.1,30.1,167,168,162,148,156,162,175,174,175,159,163,175,Blank,Blank
63,15.50033333,55801.2,30.1,166,168,162,148,154,161,176,175,175,159,164,174,Blank,Blank
