kSU_24,pC_mat_after,amp_mat_after,per_mat_after,amp_mat_halved,K_ASB_24
0.101367093,0.307316848,0.475762281,23.99390152,0.23788114,0.0001
0.1,0.305697243,0.465560192,23.99683442,0.232780096,0.00025534
0.099156303,0.305025145,0.459226171,24.01377498,0.229613086,0.00035
0.0975,0.298453528,0.446972101,24.0094378,0.22348605,0.000572453
0.097302128,0.29663371,0.44607474,24.00501543,0.22303737,0.0006
0.095842174,0.297128407,0.433391573,23.96731079,0.216695786,0.00085
0.095,0.293317328,0.428512898,23.99015713,0.214256449,0.000939896
0.09361873,0.294504788,0.420554097,24.00518528,0.210277048,0.0011
0.0925,0.292025692,0.41282483,24.0123355,0.206412415,0.001235638
0.091798608,0.289420956,0.406673011,23.98566225,0.203336505,0.00135
0.09,0.285294031,0.394654464,23.99835663,0.197327232,0.00155406
0.089393343,0.28580386,0.390841059,23.99266552,0.19542053,0.0016
0.0875,0.279627255,0.380855302,24.021168,0.190427651,0.001738115
0.086011328,0.278236279,0.371186514,24.03529725,0.185593257,0.00185
0.085,0.275682772,0.364362889,24.04623403,0.182181445,0.001935223
0.0825,0.269678516,0.349120292,23.99777257,0.174560146,0.00208877
0.082091501,0.268525547,0.347295794,24.01352587,0.173647897,0.0021
0.08,0.263860274,0.336271538,24.02263081,0.168135769,0.002144312
0.0775,0.25752467,0.320735509,23.99440222,0.160367754,0.002210156
0.075,0.25201272,0.30764713,23.96322207,0.153823565,0.002232383
0.0725,0.245692948,0.295189082,23.89988107,0.147594541,0.002201164
0.07,0.23948882,0.282469784,23.90998244,0.141234892,0.002153224
0.067815567,0.234029325,0.271762647,23.99830132,0.135881324,0.0021
0.0675,0.233268873,0.269827194,23.99576527,0.134913597,0.002091451
0.065,0.22728917,0.260896432,24.06768788,0.130448216,0.001995947
0.0625,0.22067847,0.248013173,23.89047524,0.124006587,0.001914002
0.061226837,0.217827609,0.243775884,24.01484114,0.121887942,0.00185
0.06,0.214544005,0.23851568,24.10325421,0.11925784,0.001798885
0.0575,0.208666976,0.228286424,24.05971321,0.114143212,0.001682207
0.055131286,0.201757481,0.214249953,24.03635103,0.107124977,0.0016
0.055,0.201439746,0.213477148,24.01907273,0.106738574,0.001595732
0.0525,0.195405052,0.203524791,24.07568131,0.101762395,0.001475974
0.05,0.188403199,0.19418685,23.92476376,0.097093425,0.001363008
0.049726259,0.187440957,0.193356154,23.93038725,0.096678077,0.00135
0.0475,0.182400944,0.184882439,24.0662321,0.09244122,0.001240758
0.045,0.173488622,0.170628552,23.91130351,0.085314276,0.001139604
0.04424405,0.171929197,0.169028335,23.99305973,0.084514168,0.0011
0.0425,0.168099091,0.165601328,24.09610287,0.082800664,0.001010343
0.04,0.160177254,0.150684627,23.83452503,0.075342313,0.00091419
0.038788658,0.158873781,0.150837544,24.14100054,0.075418772,0.00085
0.0375,0.155154385,0.146659938,24.31603471,0.073329969,0.000794375
0.035,0.145162575,0.124573161,23.65534839,0.06228658,0.000717982
0.0325,0.135789287,0.109000591,23.2289654,0.054500296,0.0006294
0.032229424,0.138837848,0.120427937,23.9259152,0.060213968,0.0006
0.03,0.133036617,0.119136886,24.27958917,0.059568443,0.000519482
0.0275,0.117146999,0.051238399,21.72155735,0.0256192,0.00051974
0.025,0.111029693,0.021319684,22.29400427,0.010659842,0.000518131
0.024219984,0.111333964,0.084906404,23.63464994,0.042453202,0.00035
0.0225,0.10568115,0.066073427,22.59487308,0.033036713,0.000313194
0.02,0.099610903,0.073506117,23.45440935,0.036753058,0.000342905
0.019703749,0.098813282,0.071126477,24.00058042,0.035563239,0.00035
